Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2015-01-02,24.192602157592773,24.65950423811587,23.754465939878138,24.648439535677543,212818400
2015-01-05,23.511058807373047,24.042132473375155,23.325183952802462,23.962471339063004,257142000
2015-01-06,23.513277053833008,23.77217495093279,23.152588594975892,23.5752353517813,263188400
2015-01-07,23.842967987060547,23.94254351217622,23.610622844142892,23.72126306682067,160423600
2015-01-08,24.759078979492188,24.816612391422495,24.05319353108403,24.170473633005646,237458000
2015-01-09,24.7856388092041,25.060026262015647,24.387333080738237,24.931683117483658,214798000
2015-01-12,24.174901962280273,24.9228296715174,24.075326382352763,24.916191524620462,198603200
2015-01-13,24.389537811279297,24.96044192591161,24.09966088663629,24.657287022815467,268367600
2015-01-14,24.29660415649414,24.44928658228224,24.00893877695945,24.12843047207833,195826400
2015-01-15,23.63719367980957,24.35414235278172,23.601789661609924,24.340866056986478,240056000
2015-01-16,23.453527450561523,23.80536443937961,23.278715595370205,23.683659448981608,314053200
2015-01-20,24.0576229095459,24.11294304990514,23.56637979303794,23.862894935009866,199599600
2015-01-21,24.24128532409668,24.57541774452879,23.95804479734744,24.108515641336837,194303600
2015-01-22,24.87193489074707,24.88742446217416,24.278902931738003,24.39839463484841,215185600
2015-01-23,25.000276565551758,25.17066184134601,24.67941876430255,24.849805728333372,185859200
2015-01-26,25.02683448791504,25.305648505097142,24.960451323601063,25.168453931002503,222460000
2015-01-27,24.150558471679688,24.889636367580913,24.12621747674591,24.876358386921034,382274800
2015-01-28,25.515859603881836,26.13765909552136,25.515859603881836,26.02923041081558,585908400
2015-01-29,26.310256958007812,26.374428518206834,25.571179064885065,25.739352750639867,337745600
2015-01-30,25.925230026245117,26.55366597735562,25.856631907802715,26.19961743530487,334982000
2015-02-02,26.250505447387695,26.36999712152441,25.686241178017728,26.12216403878419,250956400
2015-02-03,26.254932403564453,26.352294678311385,26.024800474481754,26.22173998998051,207662800
2015-02-04,26.45630645751953,26.666524028239085,26.17970572360188,26.221749575393172,280598800
2015-02-05,26.6451358795166,26.70956070561401,26.49184916587451,26.662906901105913,168984800
2015-02-06,26.420761108398438,26.714004163225805,26.314126499870483,26.662908024891667,174826400
2015-02-09,26.596263885498047,26.62292126746555,26.309685165049736,26.336344241916905,155559200
2015-02-10,27.107213973999023,27.136095061304506,26.69400934269236,26.696229661023946,248034000
2015-02-11,27.742582321166992,27.751468681803974,27.213856575016383,27.27383739069104,294247200
2015-02-12,28.093578338623047,28.3201762363106,27.895861528916974,28.004716451194586,297898000
2015-02-13,28.23131561279297,28.27574571104656,27.913635495070917,28.27574571104656,217088800
2015-02-17,28.397930145263672,28.6311923911294,28.195769306193434,28.322396946689228,252609600
2015-02-18,28.59564781188965,28.6089765023717,28.313511434089126,28.353499200434882,179566800
2015-02-19,28.535661697387695,28.664511338711634,28.50900431980301,28.542326041783866,149449600
2015-02-20,28.768922805786133,28.768922805786133,28.44680040985868,28.57342633827766,195793600
2015-02-23,29.54646110534668,29.54646110534668,28.804468083621224,28.884443602656212,283896400
2015-02-24,29.362075805664062,29.679757593961313,29.139921941606865,29.533135230131812,276912400
2015-02-25,28.61119842529297,29.23545371286905,28.469020069179415,29.22656565884979,298846800
2015-02-26,28.973312377929688,29.073280958926343,28.12690652779856,28.611200421862183,365150000
2015-02-27,28.537891387939453,29.00663625092877,28.489017258922594,28.880006901257964,248059200
2015-03-02,28.677845001220703,28.94220867411443,28.502344918685864,28.713390437364257,192386800
2015-03-03,28.737825393676758,28.773370827213807,28.455689023399984,28.648965199633246,151265200
2015-03-04,28.555654525756836,28.78225240299768,28.506783797135036,28.680063529790168,126665200
2015-03-05,28.082475662231445,28.602314981152542,27.93807528645344,28.56454922445823,226068400
2015-03-06,28.124677658081055,28.740043089670174,28.049146161056143,28.524553579488252,291368400
2015-03-09,28.244647979736328,28.784483743692554,27.782567440194263,28.426814118126977,354114000
2015-03-10,27.66037368774414,28.262410360171007,27.502644672745152,28.082466301280466,275426400
2015-03-11,27.15608787536621,27.718136880404018,27.12720848319452,27.713694548877402,275756000
2015-03-12,27.647043228149414,27.74701346773055,27.020569500724587,27.17163417162344,193450800
2015-03-13,27.455989837646484,27.858089404925604,27.231615699468243,27.635935584623006,207309200
2015-03-16,27.75812339782715,27.75812339782715,27.296044669322946,27.520418841684812,143497200
2015-03-17,28.222427368164062,28.284630179522154,27.91363362970817,27.969172096263538,204092400
2015-03-18,28.540103912353516,28.693390603335025,28.073581190335037,28.213537498470796,261083600
2015-03-19,28.324617385864258,28.71338664410161,28.30240233865916,28.602309713176652,183238000
2015-03-20,27.96917152404785,28.52455448333958,27.80477814097911,28.491232760007673,274780400
2015-03-23,28.26019287109375,28.402371208638087,28.106906162375846,28.240199836860707,150838800
2015-03-24,28.144678115844727,28.444583846778304,28.11579702412687,28.264641425158008,131369200
2015-03-25,27.409337997436523,28.173547688857134,27.409337997436523,28.111344889769256,206620800
2015-03-26,27.60039710998535,27.74257545518956,27.236064888537122,27.27161032228796,190291600
2015-03-27,27.380460739135742,27.70258312869527,27.30492924720013,27.673703739702116,158184800
2015-03-30,28.073583602905273,28.080247947451227,27.547078350082643,27.558186720925512,188398800
2015-03-31,27.642601013183594,28.10023735860415,27.627050312947922,28.01137548801493,168362400
2015-04-01,27.602615356445312,27.795889812565672,27.347138094649253,27.729242980827802,162485600
2015-04-02,27.840322494506836,27.893638947918962,27.58928923541274,27.77589766980492,128880400
2015-04-06,28.291296005249023,28.32684143925686,27.620392039897094,27.65149344720416,148776000
2015-04-07,27.99361228942871,28.46235544029756,27.986947943880292,28.355722521723493,140049200
2015-04-08,27.902524948120117,28.080248717080543,27.762568624120924,27.958063414057815,149316800
2015-04-09,28.115793228149414,28.12023725469051,27.693702231319484,27.958064183930947,129936000
2015-04-10,28.235755920410156,28.260192981167595,27.82699362210292,27.98027863651839,160752000
2015-04-13,28.180217742919922,28.562324360961306,28.1269012893116,28.51789087563862,145460400
2015-04-14,28.05803680419922,28.277968679310423,27.97139692324936,28.213543848237514,102098400
2015-04-15,28.164663314819336,28.242416819151526,27.99360560528852,28.08246747948214,115881600
2015-04-16,28.02915382385254,28.235756994085587,28.0158251338051,28.05359088553921,113476000
2015-04-17,27.71368980407715,28.022483486743067,27.649264991124657,27.89141354290465,207828000
2015-04-20,28.34682846069336,28.46234770691129,27.806994584251576,27.895856455518796,188217200
2015-04-21,28.19355010986328,28.48012712747022,28.140231957606513,28.457913773045995,129740400
2015-04-22,28.573429107666016,28.628967574063935,28.062476233744846,28.211318916915396,150618000
2015-04-23,28.806692123413086,28.973307527112027,28.46679697105117,28.50234240405872,183083600
2015-04-24,28.942201614379883,29.01995681325253,28.70893940756047,28.988855411663177,178103600
2015-04-27,29.468711853027344,29.575348159798903,29.135481021414673,29.393180344746973,387816800
2015-04-28,29.00441551208496,29.88858717244409,28.78448529879101,29.87081784170909,475696000
2015-04-29,28.57786750793457,29.23322060444944,28.502336022055204,28.91554226629887,253544400
2015-04-30,27.802553176879883,28.5778695972683,27.675925556960287,28.5778695972683,332781600
2015-05-01,28.64673614501953,28.908879431182097,27.8358760088577,28.013598058675683,234050400
2015-05-04,28.59120750427246,29.006637620531052,28.49345924162338,28.768931310016274,203953200
2015-05-05,27.94695472717285,28.535661067838543,27.942510701073854,28.469014235548403,197085600
2015-05-06,27.771451950073242,28.157999156225962,27.404897775923576,28.11578938435379,288564000
2015-05-07,27.943225860595703,28.12615286272981,27.66660321192148,27.833914556628738,175763600
2015-05-08,28.469707489013672,28.469707489013672,28.132853405005918,28.26000999669395,222201600
2015-05-11,28.179691314697266,28.45631225450353,28.025764336766688,28.418388759122625,168143200
2015-05-12,28.079309463500977,28.304620877619083,27.845072870312944,28.01907641863355,192640000
2015-05-13,28.110544204711914,28.37378085400866,28.079312882081744,28.141775527342084,138776800
2015-05-14,28.766393661499023,28.766393661499023,28.367078789541296,28.422849232236704,180814000
2015-05-15,28.726247787475586,28.886866975073346,28.601322509112556,28.793173016301076,152832000
2015-05-18,29.04302406311035,29.161257160981794,28.634783904740452,28.63924649445973,203531600
2015-05-19,29.016250610351562,29.19694631905053,28.92032366877132,29.154560233512147,178532800
2015-05-20,29.014022827148438,29.219257706248666,28.853403634120667,29.000638461722566,145819600
2015-05-21,29.31072998046875,29.36427086057104,28.962722769702793,29.016263649805083,158921600
2015-05-22,29.56726837158203,29.66319534191092,29.312955186093877,29.357574281479813,182384000
2015-05-26,28.915863037109375,29.649804096047635,28.804322132440436,29.580649279786215,282790400
2015-05-27,29.455724716186523,29.50480299340374,29.0117940322109,29.076486268201553,183332800
2015-05-28,29.397724151611328,29.43564765535413,29.246030136640115,29.41557110701242,122933200
2015-05-29,29.063098907470703,29.32410422543376,28.978326727566014,29.275025953274035,203538000
2015-06-01,29.121103286743164,29.310724221383353,29.01179535845598,29.063103230998106,128451200
2015-06-02,28.991724014282227,29.147880656986615,28.848951740386852,28.96941446362752,134670400
2015-06-03,29.02740478515625,29.210333508028192,28.97832651335931,29.147870871915426,123934000
2015-06-04,28.857866287231445,29.130026398016824,28.7574801423585,28.906944563206427,153800400
2015-06-05,28.69947624206543,28.93148325289006,28.634784008714654,28.88909716029949,142507200
2015-06-08,28.509859085083008,28.824405288183716,28.293469433641413,28.75524706027214,210699200
2015-06-09,28.425081253051758,28.572316051296664,28.023535052525542,28.264462092049676,224301600
2015-06-10,28.750783920288086,28.853399643667018,28.521008233053088,28.536623891216717,156349200
2015-06-11,28.68608856201172,29.040787815926894,28.66154942724008,28.81770601035133,141563600
